geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
AA10075	25.6111895129203	25.6111895129203	-80.6737617434734	-80.6737617434734
AA10076	25.6111839352194	25.6111839352194	-80.6712718636941	-80.6712718636941
AA10018	25.6742519963861	25.6742519963861	-80.6128050123327	-80.6128050123327
AA10094	25.649476994512	25.649476994512	-80.6353011351528	-80.6353011351528
AA10087	25.6296057341108	25.6296057341108	-80.6333692924468	-80.6333692924468
AA10084	25.6277730904124	25.6277730904124	-80.6229159159257	-80.6229159159257
AA10294	25.6074266158676	25.6074266158676	-80.6120246157884	-80.6120246157884
AA10071	25.6042554418955	25.6042554418955	-80.6080512656834	-80.6080512656834
AA10293	25.6078962675434	25.6078962675434	-80.6060774194697	-80.6060774194697
AA10067	25.5808901853768	25.5808901853768	-80.6529340906561	-80.6529340906561
AA10066	25.5781870032821	25.5781870032821	-80.6554310949173	-80.6554310949173
AA10132	25.5465823329025	25.5465823329025	-80.6560192105225	-80.6560192105225
AA10131	25.5470185057883	25.5470185057883	-80.6495476978715	-80.6495476978715
AA10138	25.5641530150401	25.5641530150401	-80.64003996805	-80.64003996805
AA10060	25.5745316195557	25.5745316195557	-80.6375198083875	-80.6375198083875
AA10055	25.5649554062478	25.5649554062478	-80.601210270047	-80.601210270047
AA10298	25.5537166655146	25.5537166655146	-80.6196638211349	-80.6196638211349
AA10296	25.5473759344257	25.5473759344257	-80.6122181364611	-80.6122181364611
AA10297	25.5473732952816	25.5473732952816	-80.6112227190987	-80.6112227190987
AA10295	25.5442166754078	25.5442166754078	-80.6127260003627	-80.6127260003627
AA10127	25.5437398556257	25.5437398556257	-80.6032712743899	-80.6032712743899
AA10135	25.5554066927285	25.5554066927285	-80.5773501098971	-80.5773501098971
AA10124	25.5373733106373	25.5373733106373	-80.5868690810556	-80.5868690810556
AA10299	25.514865771969	25.514865771969	-80.6118250677916	-80.6118250677916
AA10112	25.5126583071073	25.5126583071073	-80.6312373986757	-80.6312373986757
AA20168	25.1743634422658	25.1743634422658	-80.820814246417	-80.820814246417
AA20148	25.1793541675252	25.1793541675252	-80.8416479305089	-80.8416479305089
AA20015	25.1816113451894	25.1816113451894	-80.8411487905111	-80.8411487905111
